sku_code,brand_name,material,material_grade,bottle_material,cap_material,series,product_code,color,model_no,item_code,box_code,box_style,security_type,usage,handle,window,property,accessories,lid,bubble_lined,bursting_factor,sealing,finishing,perforation,car_type,lamination,grammage,neck_size,type,flute_type,printing,no_of_layers,flap_inch,flap_width_mm,gusset_inch,bottom_gusset,tape_size_inch,added_features,mouth_diameter_mm/top_diameter,weight_gm,racking_load_capacity_kg,capcity_ml,width_mm,inner_height_mm,outer_height_mm,height_inch,length_mm,thickness_gsm,thickness_microns,inner_gsm,outer_gsm,updated_at,quantity,status,company_id,per_unit
BZ-SKU-0000894,"""Luxor""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-05,20,3,7746,15.80357143
BZ-SKU-0006692,,"""PET""",,,,,,,,,,,,,,,,,,,,,,,,,,"""28""",,,,,,,,,,,,"""47""",,"""500""",,,,,,,,,,2018-02-07,42500,3,7746,5.616
BZ-SKU-0006691,,"""PET""",,,,,,,,,,,,,,,,,,,,,,,,,,"""28""",,,,,,,,,,,,"""47""",,"""500""",,,,,,,,,,2018-02-07,21500,3,7746,5.336
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,300000,3,4606,0.075
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,136500,3,4606,0.075
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,66000,3,4606,0.075
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,146000,8,4606,0.075
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,81000,1,4606,0.075
BZ-SKU-0011956,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Thermal Label Roll""",,"""No Printing""",,,,,,,,,,,,"""25.4""",,,,"""50.8""","""150""",,,,2018-12-28,335000,8,4606,0.075
BZ-SKU-0000831,"""Non Branded""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-05,110000,3,9816,0.42
