sku_code,material,box_code,bursting_factor,flute_type,inner_height_mm,height_inch,inner_height,length_inch,updated_at,quantity,status,company_id,per_unit
BZ-SKU-0000027,"""Top paper golden Kraft rest brown Kraft""","""PC1""","""24x22x22x22x22""","""BB""","""646""","""3.9""","""687""","""7.9""",2018-11-01,795,3,4606,6.71
BZ-SKU-0000027,"""Top paper golden Kraft rest brown Kraft""","""PC1""","""24x22x22x22x22""","""BB""","""646""","""3.9""","""687""","""7.9""",2018-11-01,12490,3,4606,7.1
BZ-SKU-0004768,"""Paper""","""Regular 5P34""","""20x18x18x18x18""","""BC""","""300""","""11.8""","""730""","""28.7""",2018-02-07,10,3,4606,63.43
BZ-SKU-0005542,"""Paper""","""5P34.2 Regular (3)""","""20x18x18x18x18""","""BC""","""300""","""11.8""","""730""","""28.7""",2018-02-07,2165,3,9508,67
BZ-SKU-0005542,"""Paper""","""5P34.2 Regular (3)""","""20x18x18x18x18""","""BC""","""300""","""11.8""","""730""","""28.7""",2018-02-07,315,3,9508,67
BZ-SKU-0004768,"""Paper""","""Regular 5P34""","""20x18x18x18x18""","""BC""","""300""","""11.8""","""730""","""28.7""",2018-02-07,825,3,4606,67.22994652
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1000,4,4606,6.93
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1998,3,4606,7.34
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1000,1,4606,6.93
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1000,3,4606,7.86
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1000,3,4606,7.86
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,990,3,4606,7.86
BZ-SKU-0000068,"""Paper""","""A1""","""22x22x22""","""B""","""101.14""","""4.1""","""306.88""","""12.2""",2018-10-05,1000,3,4606,7.3458
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1000,4,4606,4.43
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1000,3,4606,5.02
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1000,1,4606,4.43
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,2550,3,4606,5.02
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1985,3,4606,4.68
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1000,3,4606,5.02
BZ-SKU-0000058,"""Paper""","""A5""","""22x22x22""","""B""","""90.98""","""3.7""","""197.66""","""7.9""",2018-10-05,1000,3,4606,4.6958
BZ-SKU-0000029,"""Top paper golden Kraft rest brown Kraft""","""CB1""","""24x22x22""","""B""","""80""","""3.1""","""660""","""26""",2018-11-01,3000,3,4606,41.21
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,13000,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,3000,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2018-03-19,28925,3,4606,4.38
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,755,3,7746,4.06
BZ-SKU-0000394,"""Top paper golden Kraft rest brown Kraft""","""FirstCry Box2""","""24x20x20""","""B""","""90""","""3""","""220""","""8""",2019-06-12,15000,3,7746,4.06
